case_id,n,k,family,T,profile,repetitions,mean,sd,minimum,maximum,median_seconds,maximum_iterations
1,4,2,polynomial_rotated,4096,OMD,5,0.561379798896299,0.024347544438627553,0.5268331894264336,0.5891350356976954,0.02685917599592358,20
1,4,2,polynomial_rotated,4096,MW_PLS,5,0.47331453767556414,0.02657809448501731,0.446932477294791,0.5033684742918584,0.05135167692787945,107
1,4,2,polynomial_rotated,4096,OMD_tight,5,0.577521810460589,0.024756128587509155,0.5428656941944483,0.6048982947855743,0.8075260859914124,900
1,4,2,polynomial_rotated,65536,PLS,5,0.18039026784453194,0.0038443953848594776,0.17692003487398322,0.18537165997588453,0.0009280709782615304,0
1,4,2,polynomial_rotated,65536,OMD,5,0.1799609211246565,0.003646682453201511,0.17594699841643646,0.1845983414826761,0.0247223210753873,20
1,4,2,polynomial_rotated,65536,MW_PLS,5,0.1707831399235058,0.0035402879556527935,0.16570142247342484,0.17438022355442018,0.671344356960617,1384
1,4,2,polynomial_rotated,65536,OMD_tight,5,0.20347168155601988,0.012534343971183715,0.19205837385763486,0.22087305781107913,1.6000336359720677,2860
1,4,2,polynomial_rotated,1048576,PLS,5,0.05547976188059676,0.0037622199252276356,0.05119374793258655,0.06109170113297538,0.0009167789248749614,0
1,4,2,polynomial_rotated,1048576,OMD,5,0.055467333012863475,0.0037389495972108026,0.051175666406206334,0.06102281221262173,0.02408241806551814,20
1,4,2,polynomial_rotated,1048576,MW_PLS,5,0.05282821152864634,0.0036058722895013252,0.048875964439236086,0.05819705203279693,5.387830481980927,15953
1,4,2,polynomial_rotated,1048576,OMD_tight,5,0.0556904211771269,0.003943365629582115,0.05119412594190843,0.06168736425344968,6.459584803902544,37680
2,4,4,rank8_rotated,256,PLS,5,1.3941307757473955,0.06526062692704239,1.3051954632115814,1.4642907533861766,0.000879768980666995,0
2,4,4,rank8_rotated,256,OMD,5,1.3941307757473955,0.06526062692704239,1.3051954632115814,1.4642907533861766,0.0005185820627957582,0
2,4,4,rank8_rotated,256,MW_PLS,5,1.3941307757473955,0.06526062692704239,1.3051954632115814,1.4642907533861766,0.0005818860372528434,0
2,4,4,rank8_rotated,256,OMD_tight,5,1.3941307757473955,0.06526062692704239,1.3051954632115814,1.4642907533861766,0.0005053470376878977,0
2,4,4,rank8_rotated,4096,PLS,5,0.6831618081799751,0.02856505438900842,0.6371018151856993,0.709485706730279,0.0006057349964976311,0
2,4,4,rank8_rotated,4096,OMD,5,0.6831618081799751,0.02856505438900842,0.6371018151856993,0.709485706730279,0.0006331260083243251,0
2,4,4,rank8_rotated,4096,MW_PLS,5,0.6831618081799751,0.02856505438900842,0.6371018151856993,0.709485706730279,0.0006980920443311334,0
2,4,4,rank8_rotated,4096,OMD_tight,5,0.6831618081799751,0.02856505438900842,0.6371018151856993,0.709485706730279,0.0006556019652634859,0
2,4,4,rank8_rotated,65536,PLS,5,0.19741376702392172,0.009965996420224457,0.18238907601577314,0.205404031640478,0.0006447170162573457,0
2,4,4,rank8_rotated,65536,OMD,5,0.19741376702392172,0.009965996420224457,0.18238907601577314,0.205404031640478,0.0005529359914362431,0
2,4,4,rank8_rotated,65536,MW_PLS,5,0.19741376702392172,0.009965996420224457,0.18238907601577314,0.205404031640478,0.0006151830311864614,0
2,4,4,rank8_rotated,65536,OMD_tight,5,0.19741376702392172,0.009965996420224457,0.18238907601577314,0.205404031640478,0.0005308249965310097,0
2,4,4,rank8_rotated,1048576,PLS,5,0.049489683263973974,0.003595644480616342,0.04568713376153502,0.05534217637384767,0.0006357510574162006,0
2,4,4,rank8_rotated,1048576,OMD,5,0.049489683263973974,0.003595644480616342,0.04568713376153502,0.05534217637384767,0.0005773160373792052,0
2,4,4,rank8_rotated,1048576,MW_PLS,5,0.049489683263973974,0.003595644480616342,0.04568713376153502,0.05534217637384767,0.000594344106502831,0
2,4,4,rank8_rotated,1048576,OMD_tight,5,0.049489683263973974,0.003595644480616342,0.04568713376153502,0.05534217637384767,0.0006004540482535958,0
